section,key,text,context,
meta,page_title,Gabriel Mangabeira | Atleta Olímpico & Estrategista de Growth Marketing,HTML page title,
meta,page_description,"Combinando IA, Web3 e marketing de performance para entregar crescimento mensurável. Mais de 1M de leitores orgânicos, mais de US$ 6M levantados e milhões em gestão de anúncios.",HTML meta description,
meta,og_title,Gabriel Mangabeira | Atleta Olímpico & Estrategista de Growth Marketing,Open Graph title,
meta,og_description,"Combinando IA, Web3 e marketing de performance para entregar crescimento mensurável. Mais de 1M de leitores orgânicos, mais de US$ 6M levantados e milhões em gestão de anúncios.",Open Graph description,
meta,twitter_title,Gabriel Mangabeira | Atleta Olímpico & Estrategista de Growth Marketing,Twitter card title,
meta,twitter_description,"Combinando IA, Web3 e marketing de performance para entregar crescimento mensurável. Mais de 1M de leitores orgânicos, mais de US$ 6M levantados e milhões em gestão de anúncios.",Twitter card description,
header,brand_name,Gabriel Mangabeira,Logo/brand text in header,
header,nav_about,Sobre,Navigation menu item,
header,nav_methods,Métodos,Navigation menu item,
header,nav_case_studies,Estudos de Caso,Navigation menu item,
header,nav_tools,Ferramentas,Navigation menu item,
header,nav_publications,Publicações,Navigation menu item,
header,nav_contact,Contato,Navigation menu item,
header,cta_work_with_me,Trabalhe Comigo,Header CTA button,
header,aria_scroll_to_top,Topo,Accessibility label,
header,aria_open_menu,Abrir menu,Accessibility label - mobile menu,
header,aria_close_menu,Fechar menu,Accessibility label - mobile menu,
hero,main_headline,Das Piscinas Olímpicas ao Crescimento Digital,Main headline,
hero,subheadline,Voe acima do ruído e alcance um crescimento escalável,Subheadline,
hero,profile_image_alt,Gabriel Mangabeira - Atleta Olímpico e Estrategista de Growth Marketing,Profile image alt text,
hero,profile_name,Gabriel Mangabeira,Name display,
hero,profile_title,Atleta Olímpico & Estrategista de Growth Marketing,Title/role display,
hero,proof_olympian,2× Olímpico,Proof badge,
hero,proof_readers,Mais de 1M de Leitores Globais,Proof badge,
hero,proof_raised,Mais de US$ 6M Levantados,Proof badge,
hero,cta_primary,Comece Seu Sprint de Growth,Primary CTA button,
hero,cta_secondary,Veja Meus Resultados,Secondary CTA button,
social_proof,section_title,Crescimento Comprovado em Ação,Section title,
social_proof,section_subtitle,Da disciplina olímpica ao impacto digital — com a confiança de marcas como Coca-Cola e Binance.,Section subtitle,
social_proof,logo_ioc_alt,COI,Logo alt text,
social_proof,logo_coca_cola_alt,Coca-Cola,Logo alt text,
social_proof,logo_binance_alt,Binance,Logo alt text,
social_proof,stat_olympian_number,2,Stat number,
social_proof,stat_olympian_label,Olímpico,Stat label,
social_proof,stat_olympian_subtitle,"Disciplina, foco e resiliência.",Stat subtitle,
social_proof,stat_olympian_suffix,x,Stat suffix,
social_proof,stat_raised_number,6000000,Stat number (raw),
social_proof,stat_raised_label,Levantados,Stat label,
social_proof,stat_raised_subtitle,Crowdfunding & lançamentos DTC.,Stat subtitle,
social_proof,stat_raised_suffix,M+,Stat suffix,
social_proof,stat_readers_number,1000000,Stat number (raw),
social_proof,stat_readers_label,Leitores Globais,Stat label,
social_proof,stat_readers_subtitle,Audiências escaladas na América Latina.,Stat subtitle,
social_proof,stat_readers_suffix,M+,Stat suffix,
social_proof,stat_ad_spend_number,1000000,Stat number (raw),
social_proof,stat_ad_spend_label,Investimento em Anúncios Gerenciado,Stat label,
social_proof,stat_ad_spend_subtitle,Campanhas pagas de alta performance.,Stat subtitle,
social_proof,stat_ad_spend_suffix,M+,Stat suffix,
about,section_title,Minha História,Section title,
about,section_subtitle,"Da disciplina olímpica ao Growth digital, uma jornada de foco, performance e impacto mensurável.",Section subtitle,
about,image_alt,Gabriel Mangabeira - Atleta olímpico transformado em estrategista digital,Professional headshot alt text,
about,narrative_para1,"Cresci na água, perseguindo centésimos de segundo. Essa busca pela excelência me levou aos Jogos Olímpicos, onde aprendi que disciplina, resiliência e foco são tudo.",First narrative paragraph,
about,narrative_para2,"Quando fiz a transição da piscina para o marketing digital, levei esses mesmos princípios comigo, só que agora, em vez de buscar medalhas, ajudo empresas a buscar crescimento mensurável.",Second narrative paragraph,
about,signal_olympian_title,2x Olímpico,Authority signal title,
about,signal_olympian_desc,Representei o Brasil no palco mundial.,Authority signal description,
