section,key,text,context,
meta,page_title,Gabriel Mangabeira | Atleta Olímpico y Estratega de Growth Marketing,HTML page title,
meta,page_description,"Combinando IA, Web3 y marketing de performance para generar crecimiento medible. Más de 1M de lectores orgánicos, más de $6M recaudados y millones en inversión publicitaria gestionada.",HTML meta description,
meta,og_title,Gabriel Mangabeira | Atleta Olímpico y Estratega de Growth Marketing,Open Graph title,
meta,og_description,"Combinando IA, Web3 y marketing de performance para generar crecimiento medible. Más de 1M de lectores orgánicos, más de $6M recaudados y millones en inversión publicitaria gestionada.",Open Graph description,
meta,twitter_title,Gabriel Mangabeira | Atleta Olímpico y Estratega de Growth Marketing,Twitter card title,
meta,twitter_description,"Combinando IA, Web3 y marketing de performance para generar crecimiento medible. Más de 1M de lectores orgánicos, más de $6M recaudados y millones en inversión publicitaria gestionada.",Twitter card description,
header,brand_name,Gabriel Mangabeira,Logo/brand text in header,
header,nav_about,Acerca de,Navigation menu item,
header,nav_methods,Métodos,Navigation menu item,
header,nav_case_studies,Casos de Estudio,Navigation menu item,
header,nav_tools,Herramientas,Navigation menu item,
header,nav_publications,Publicaciones,Navigation menu item,
header,nav_contact,Contacto,Navigation menu item,
header,cta_work_with_me,Trabaja Conmigo,Header CTA button,
header,aria_scroll_to_top,Desplazarse hacia arriba,Accessibility label,
header,aria_open_menu,Abrir menú,Accessibility label - mobile menu,
header,aria_close_menu,Cerrar menú,Accessibility label - mobile menu,
hero,main_headline,De las Piscinas Olímpicas al Crecimiento Digital,Main headline,
hero,subheadline,Vuela por encima del ruido y alcanza un crecimiento escalable.,Subheadline,
hero,profile_image_alt,Gabriel Mangabeira - Atleta Olímpico y Estratega de Growth Marketing,Profile image alt text,
hero,profile_name,Gabriel Mangabeira,Name display,
hero,profile_title,Atleta Olímpico y Estratega de Growth Marketing,Title/role display,
hero,proof_olympian,2× Olímpico,Proof badge,
hero,proof_readers,Más de 1M de Lectores Globales,Proof badge,
hero,proof_raised,Más de $6M Recaudados,Proof badge,
hero,cta_primary,Comienza Tu Sprint de Growth,Primary CTA button,
hero,cta_secondary,Ver Mis Resultados,Secondary CTA button,
social_proof,section_title,Crecimiento Comprobado en Acción,Section title,
social_proof,section_subtitle,"De la disciplina olímpica al impacto digital — con la confianza de marcas como el COI, Coca-Cola y Binance.",Section subtitle,
social_proof,logo_ioc_alt,COI,Logo alt text,
social_proof,logo_coca_cola_alt,Coca-Cola,Logo alt text,
social_proof,logo_binance_alt,Binance,Logo alt text,
social_proof,stat_olympian_number,2,Stat number,
social_proof,stat_olympian_label,Olímpico,Stat label,
social_proof,stat_olympian_subtitle,"Disciplina, enfoque y resiliencia.",Stat subtitle,
social_proof,stat_olympian_suffix,x,Stat suffix,
social_proof,stat_raised_number,6000000,Stat number (raw),
social_proof,stat_raised_label,Recaudados,Stat label,
social_proof,stat_raised_subtitle,Crowdfunding y lanzamientos DTC.,Stat subtitle,
social_proof,stat_raised_suffix,M+,Stat suffix,
social_proof,stat_readers_number,1000000,Stat number (raw),
social_proof,stat_readers_label,Lectores Globales,Stat label,
social_proof,stat_readers_subtitle,Audiencias escaladas en América Latina.,Stat subtitle,
social_proof,stat_readers_suffix,M+,Stat suffix,
social_proof,stat_ad_spend_number,1000000,Stat number (raw),
social_proof,stat_ad_spend_label,Inversión en Anuncios Gestionada,Stat label,
social_proof,stat_ad_spend_subtitle,Campañas pagadas de alto rendimiento.,Stat subtitle,
social_proof,stat_ad_spend_suffix,M+,Stat suffix,
about,section_title,Mi Historia,Section title,
about,section_subtitle,"Desde la disciplina olímpica hasta el Growth digital, un viaje de enfoque, rendimiento e impacto medible.",Section subtitle,
about,image_alt,Gabriel Mangabeira - Atleta olímpico convertido en estratega digital,Professional headshot alt text,
about,narrative_para1,"Crecí en el agua, persiguiendo centésimas de segundo. Esa búsqueda de la excelencia me llevó a los Juegos Olímpicos, donde aprendí que la disciplina, la resiliencia y el enfoque lo son todo.",First narrative paragraph,
about,narrative_para2,"Cuando pasé de la piscina al marketing digital, llevé esos mismos principios conmigo, solo que ahora, en vez de buscar medallas, ayudo a las empresas a lograr crecimiento real y medible.",Second narrative paragraph,
about,signal_olympian_title,2x Olímpico,Authority signal title,
about,signal_olympian_desc,Representé a Brasil en el escenario mundial.,Authority signal description,
about,signal_transition_title,De las Piscinas Olímpicas al Crecimiento Digital,Authority signal title,
about,signal_transition_desc,Transformé la disciplina olímpica en estrategia para acelerar el crecimiento digital.,Authority signal description,
about,signal_leader_title,Líder de Marketing,Authority signal title,
about,signal_leader_desc,Impulsé el crecimiento de marcas globales como Binance y Coca-Cola.,Authority signal description,
about,signal_global_title,Ciudadano Global,Authority signal title,
about,signal_global_desc,"Campañas en 3 idiomas: Inglés, Portugués y Español.",Authority signal description,
about,cta_read_story,Lee Mi Historia Completa,CTA button,
as_seen_on,section_title,Destacado en,Section title,
as_seen_on,section_subtitle,Artículos y menciones de medios globales.,Section subtitle,
as_seen_on,logo_olympics_alt,Olympics.com,Logo alt text,
as_seen_on,logo_globo_alt,Globo Esporte,Logo alt text,
as_seen_on,logo_nsc_alt,NSC Total,Logo alt text,
case_studies,section_title,Historias de Crecimiento Destacadas,Section title,
case_studies,section_subtitle,Resultados y aprendizajes de las campañas que lideré.,Section subtitle,
case_studies,binance_title,Binance – Campañas de Crecimiento LATAM,Case study title,
case_studies,binance_logo_alt,Logo de Campañas de Crecimiento LATAM de Binance,Logo alt text,
case_studies,binance_challenge,Entrar en el mercado cripto abarrotado de LATAM con límites regulatorios estrictos.,Challenge text,
case_studies,binance_approach,"Lideré campañas de medios pagos multimillonarias, localizadas para audiencias de LATAM y garantizando el cumplimiento.",Approach text,
case_studies,binance_result_number,7M+,Result number,
case_studies,binance_result_text,impresiones y gastos publicitarios multimillonarios gestionados,Result text,
case_studies,binance_cta,Ver Detalles,CTA button,
case_studies,np_title,Neil Patel Brasil – SEO a Escala,Case study title,
case_studies,np_logo_alt,Logo Neil Patel Brasil – SEO a Escala,Logo alt text,
case_studies,np_challenge,Expandir la visibilidad SEO en Brasil y LATAM en alto volumen.,Challenge text,
case_studies,np_approach,Construí una operación escalable de SEO/contenido con estrategia localizada y flujos de trabajo optimizados.,Approach text,
case_studies,np_result_number,1M+,Result number,
case_studies,np_result_text,lectores mensuales alcanzados,Result text,
case_studies,np_cta,Ver Detalles,CTA button,
case_studies,russell_title,Russell Marketing – Éxito en Crowdfunding,Case study title,
case_studies,russell_logo_alt,Logo Russell Marketing – Éxito en Crowdfunding,Logo alt text,
case_studies,russell_challenge,Apoyar a emprendedores en el lanzamiento y crecimiento de productos en Kickstarter e Indiegogo.,Challenge text,
